天津电信-组播1,#group#
哈哈炫动,http://110.178.145.178:8188/rtp/239.1.1.64:8064
优漫卡通,http://110.178.145.178:8188/rtp/239.1.1.72:8072

河北电信-组播1,#group#
九屏直播频道,http://106.116.127.5:4022/rtp/239.254.200.248:6000
河北卫视,http://106.116.127.5:4022/rtp/239.254.200.174:6000
河北经济生活,http://106.116.127.5:4022/rtp/239.254.200.18:6000
河北都市频道,http://106.116.127.5:4022/rtp/239.254.200.19:6000
河北影视剧频道,http://106.116.127.5:4022/rtp/239.254.200.20:6000
河北少儿科教,http://106.116.127.5:4022/rtp/239.254.200.21:6000
河北文旅公共,http://106.116.127.5:4022/rtp/239.254.200.22:6000
河北农民,http://106.116.127.5:4022/rtp/239.254.200.23:6000
睛彩河北,http://106.116.127.5:4022/rtp/239.254.200.27:6000
河北杂技频道,http://106.116.127.5:4022/rtp/239.254.201.139:7203
河北三佳购物,http://106.116.127.5:4022/rtp/239.254.200.143:6000
CCTV-1综合,http://106.116.127.5:4022/rtp/239.254.200.45:8008
CCTV-2财经,http://106.116.127.5:4022/rtp/239.254.200.158:6000
CCTV-3综艺,http://106.116.127.5:4022/rtp/239.254.201.152:7205
CCTV-4中文国际,http://106.116.127.5:4022/rtp/239.254.200.190:6307
CCTV-5体育,http://106.116.127.5:4022/rtp/239.254.201.153:7206
CCTV-5+体育赛事,http://106.116.127.5:4022/rtp/239.254.200.46:8004
CCTV-6电影,http://106.116.127.5:4022/rtp/239.254.201.154:7207
CCTV-7国防军事,http://106.116.127.5:4022/rtp/239.254.200.159:6000
CCTV-8电视剧,http://106.116.127.5:4022/rtp/239.254.201.155:7208
CCTV-9纪录,http://106.116.127.5:4022/rtp/239.254.200.59:8112
CCTV-10科教,http://106.116.127.5:4022/rtp/239.254.200.160:6000
CCTV-11戏曲,http://106.116.127.5:4022/rtp/239.254.201.123:8120
CCTV-12社会与法,http://106.116.127.5:4022/rtp/239.254.200.161:6000
CCTV-13新闻,http://106.116.127.5:4022/rtp/239.254.200.9:8264
CCTV-14少儿,http://106.116.127.5:4022/rtp/239.254.200.162:6000
CCTV-15音乐,http://106.116.127.5:4022/rtp/239.254.201.124:8136
CCTV-17农业农村,http://106.116.127.5:4022/rtp/239.254.201.120:8144
CCTV电视指南,http://106.116.127.5:4022/rtp/239.254.201.217:7250
CCTV第一剧场,http://106.116.127.5:4022/rtp/239.254.201.218:7258
CCTV风云剧场,http://106.116.127.5:4022/rtp/239.254.201.219:7257
CCTV怀旧剧场,http://106.116.127.5:4022/rtp/239.254.201.220:7256上海
CCTV风云音乐,http://106.116.127.5:4022/rtp/239.254.201.221:7259
CCTV风云足球,http://106.116.127.5:4022/rtp/239.254.201.222:7251
CCTV高尔夫网球,http://106.116.127.5:4022/rtp/239.254.201.223:7252
CCTV央视台球,http://106.116.127.5:4022/rtp/239.254.201.171:7176
CCTV女性时尚,http://106.116.127.5:4022/rtp/239.254.201.228:7255
CCTV央视文化精品,http://106.116.127.5:4022/rtp/239.254.201.229:7260
CCTV兵器科技,http://106.116.127.5:4022/rtp/239.254.201.225:7249
CCTV世界地理,http://106.116.127.5:4022/rtp/239.254.201.226:7254
羽毛球专区,http://106.116.127.5:4022/rtp/239.254.201.214:7264
中式八球国际公开赛,http://106.116.127.5:4022/rtp/239.254.200.187:6000
石家庄新闻综合,http://106.116.127.5:4022/rtp/239.254.200.157:6000
石家庄文化娱乐,http://106.116.127.5:4022/rtp/239.254.200.29:6000
石家庄城市服务,http://106.116.127.5:4022/rtp/239.254.200.30:6000
承德新闻综合,http://106.116.127.5:4022/rtp/239.254.200.32:6000
承德旅游文化,http://106.116.127.5:4022/rtp/239.254.200.33:6000
秦皇岛新闻综合,http://106.116.127.5:4022/rtp/239.254.200.39:6000
秦皇岛公共频道,http://106.116.127.5:4022/rtp/239.254.200.40:6000
秦皇岛影视,http://106.116.127.5:4022/rtp/239.254.200.41:6000
唐山新闻综合,http://106.116.127.5:4022/rtp/239.254.200.166:6000
唐山生活服务,http://106.116.127.5:4022/rtp/239.254.200.167:6000
唐山影视频道,http://106.116.127.5:4022/rtp/239.254.200.168:6000
唐山公共频道,http://106.116.127.5:4022/rtp/239.254.200.169:6000
廊坊新闻综合,http://106.116.127.5:4022/rtp/239.254.200.183:6000
